Time_s,Altitude_m,Velocity_ms,Acceleration_ms2,Pressure_Pa
0.0,-2.8923562592392615,2.2330618387078824,209.8292989506562,102034
0.011000000000000003,-2.855139189107501,4.5276848620839765,207.43723458173054,102034
0.015000000000000006,-2.8353758792785118,5.353177546868274,205.30910781041865,102029
0.026000000000000002,-2.7641072358993983,7.59876428980579,202.91704344149292,102029
0.031000000000000007,-2.7235882345664613,8.607597953458951,200.72241270857754,102022
0.041,-2.627510598689045,10.60297606238409,198.31649334765106,102022
0.046000000000000006,-2.5720262615391687,11.589520507656076,196.1606565923377,102016
0.057,-2.4327152246457078,13.733765604353868,193.72702724740986,102016
0.062000000000000006,-2.3616363777016662,14.696534883352609,191.54001676009483,102011
0.07200000000000001,-2.2051300163718586,16.599784222968907,189.10985116316712,102011
0.07700000000000001,-2.119776799380694,17.540264283586474,186.92284067585214,102011
0.08800000000000002,-1.9155649600063174,19.583167734044544,184.51415031652544,102011
0.093,-1.8153542633754594,20.499872628388854,182.32713982921032,102012
0.10300000000000001,-1.6012751684418316,22.310993198696316,179.89697423228256,102012
0.10800000000000001,-1.4874810675336667,23.205408874659458,177.70996374496767,102016
0.11900000000000002,-1.221510016711806,25.146970678877807,175.27633440003964,102016
0.124,-1.0935954663184173,26.017611188567695,173.12049764472644,102017
0.134,-0.8247996296295468,27.736602989566318,170.71457828380017,102017
0.139,-0.6839926407286668,28.584954280875042,168.51994755088475,102017
0.15000000000000002,-0.3594039694927537,30.425174438853663,166.12788318195905,102017
0.154,-0.23638117616788423,31.08542971803887,163.99975641064725,102014
0.165,0.11544302533441962,32.87661359557891,161.60769204172186,102014
0.17,0.28183490630372565,33.67890050223321,159.41306130880687,102012
0.18000000000000002,0.6265601000988965,35.26118509716064,157.0071419478807,102012
0.185,0.8048191155301573,36.041182785433776,154.85130519256742,102011
0.196,1.210599221719487,37.73102501673409,152.4176758476393,102011
0.201,1.401147998832932,38.48724753873398,150.23066536032442,102016
0.21100000000000002,1.7934960191465659,39.97740336435257,147.8004997633967,102016
0.21600000000000003,1.9952209649521513,40.71133666797128,145.61348927608145,102019
0.22700000000000004,2.4518153847950748,42.29983725303187,143.17985993115332,102019
0.23199999999999998,2.6650930621283715,43.00999539037733,141.02402317583994,102017
0.242,3.1022079171118944,44.408022446687085,138.61810381491375,102017
0.247,3.3259707973675168,45.095891365651376,136.44841206759983,102009
0.258,3.830237939830603,46.58305030447223,134.0251739666722,102009
0.262,4.017635464822195,47.11491968578189,131.87280095935853,101997
0.273,4.543842219264307,48.55304234416419,129.46341785043168,101997
0.278,4.788215038045676,49.19484687847405,127.25839587351558,101984
0.28900000000000003,5.337013312095494,50.5806641710552,124.84901276458906,101984
0.293,5.540327589537969,51.07568204464131,122.69663975727589,101974
0.304,6.109545350873214,52.412463056783885,120.27340165634874,101974
0.309,6.373100112256048,53.008203206439326,118.10370990903509,101964
0.319,6.909052865523291,54.177394287369054,115.69779054810896,101964
0.324,7.1813765600130965,54.750845218643335,113.54195379279582,101955
0.335,7.7904637372080465,55.986284584546176,111.1083244478678,101955
0.34,8.071772445268056,56.5359603495472,108.92131396055258,101942
0.35000000000000003,8.642542126119835,57.61302266116809,106.49114836362499,101942
0.35500000000000004,8.931928801516998,58.14040920778794,104.30413787630957,101925
0.366,9.577743803538217,59.27450692745105,101.87050853138182,101925
0.371,9.875378462351112,59.778118307797655,99.71467177606856,101908
0.381,10.478109078938852,60.7630518501097,97.3087524151426,101908
0.386,10.783130739319091,61.24437401207513,95.13906066782917,101891
0.397,11.462531975133151,62.277130085498534,92.71582256690182,101891
0.401,11.712375344437653,62.64376206120912,90.5634495595883,101875
0.41200000000000003,12.406900149249774,63.62748185419391,88.15406645066162,101875
0.41700000000000004,12.726128798688796,64.06273963150493,85.94904447374522,101862
0.428,13.435974677262266,64.9941540586886,83.53966136481866,101862
0.432,13.69661243944408,65.32393452667563,81.38728835750565,101850
0.443,14.420061762322014,66.20631267342071,78.96405025657882,101850
0.448,14.752069404895536,66.5955060660773,76.7943585092647,101837
0.458,15.421829719189171,67.35160363300932,74.38843914833849,101837
0.463,15.759508093514683,67.71850780728475,72.23260239302529,101820
0.47400000000000003,16.508740343425,68.49954430779012,69.79897304809707,101820
0.47900000000000004,16.852098983208734,68.84267331579228,67.61196256078094,101804
0.48900000000000005,17.543870326152973,69.50664211341545,65.18179696385295,101804
0.49400000000000005,17.89220873191888,69.82748190303646,62.994786476537705,101787
0.505,18.66408231782815,70.5071767573021,60.561157131610344,101787
0.51,19.0173639588978,70.80424138064984,58.405320376297155,101771
0.5199999999999999,19.728290338644065,71.37608140896418,55.99940101537098,101771
0.5249999999999999,20.08586077992608,71.65085681393077,53.829709268057286,101757
0.5359999999999999,20.877234110800867,72.22921002195667,51.40647116713034,101757
0.5399999999999999,21.16655532504,72.43060459206816,49.25409815981688,101745
0.5509999999999999,21.966236181931887,72.9599215196555,46.84471505089026,101745
0.5559999999999999,22.331610662805726,73.18863253996767,44.639693073974236,101733
0.567,23.1393421476126,73.66564410175384,42.23030996504796,101733
0.571,23.43433539515547,73.83018716414179,40.07793695773464,101719
0.582,24.24885428128585,74.25816244548939,37.6546988568074,101719
0.587,24.62060480582722,74.44080908114715,35.48500710949311,101706
0.597,25.366752682701563,74.78381313408146,33.07908774856733,101706
0.602,25.74107573763994,74.94417055135801,30.923250993254918,101692
0.613,26.567291061975375,75.2708041864659,28.489621648327283,101692
0.618,26.943989634259985,75.40738643746923,26.302611161011942,101674
0.628,27.699342640851015,75.65826172109469,23.872445564084227,101674
