Time_s,Altitude_m,Velocity_ms,Acceleration_ms2
2.660000,126.903696,42.070167,-11.889773
2.680000,127.742723,41.832608,-11.866291
2.700000,128.577004,41.595516,-11.842992
2.720000,129.406547,41.358888,-11.819874
2.740000,130.231362,41.122721,-11.796936
2.760000,131.051459,40.887011,-11.774177
2.780000,131.866846,40.651754,-11.751595
2.800000,132.677532,40.416947,-11.729189
2.820000,133.483526,40.182586,-11.706958
2.840000,134.284838,39.948668,-11.684902
2.860000,135.081476,39.715190,-11.663018
2.880000,135.873449,39.482148,-11.641306
2.900000,136.660765,39.249538,-11.619765
2.920000,137.443433,39.017357,-11.598394
2.940000,138.221462,38.785602,-11.577191
2.960000,138.994860,38.554269,-11.556156
2.980000,139.763636,38.323356,-11.535287
3.000000,140.527797,38.092858,-11.514583
3.020000,141.287353,37.862773,-11.494044
3.040000,142.042311,37.633096,-11.473668
3.060000,142.792679,37.403826,-11.453455
3.080000,143.538466,37.174958,-11.433403
3.100000,144.279680,36.946490,-11.413511
3.120000,145.016328,36.718418,-11.393779
3.140000,145.748419,36.490739,-11.374205
3.160000,146.475960,36.263449,-11.354789
3.180000,147.198959,36.036547,-11.335529
3.200000,147.917424,35.810028,-11.316425
3.220000,148.631363,35.583890,-11.297475
3.240000,149.340782,35.358129,-11.278680
3.260000,150.045690,35.132743,-11.260037
3.280000,150.746093,34.907728,-11.241546
3.300000,151.442000,34.683081,-11.223206
3.320000,152.133418,34.458799,-11.205016
3.340000,152.820354,34.234880,-11.186976
3.360000,153.502815,34.011320,-11.169084
3.380000,154.180808,33.788117,-11.151340
3.400000,154.854341,33.565267,-11.133742
3.420000,155.523420,33.342767,-11.116291
3.440000,156.188053,33.120615,-11.098984
3.460000,156.848246,32.898808,-11.081822
3.480000,157.504006,32.677342,-11.064804
3.500000,158.155341,32.456216,-11.047928
3.520000,158.802256,32.235425,-11.031194
3.540000,159.444759,32.014968,-11.014601
3.560000,160.082856,31.794841,-10.998149
3.580000,160.716553,31.575042,-10.981836
3.600000,161.345858,31.355568,-10.965662
3.620000,161.970777,31.136416,-10.949626
3.640000,162.591316,30.917583,-10.933728
3.660000,163.207481,30.699066,-10.917966
3.680000,163.819279,30.480864,-10.902340
3.700000,164.426716,30.262973,-10.886850
3.720000,165.029799,30.045390,-10.871494
3.740000,165.628533,29.828113,-10.856271
3.760000,166.222924,29.611139,-10.841182
3.780000,166.812979,29.394466,-10.826226
3.800000,167.398704,29.178090,-10.811401
3.820000,167.980104,28.962010,-10.796707
3.840000,168.557185,28.746222,-10.782144
3.860000,169.129954,28.530724,-10.767710
3.880000,169.698415,28.315514,-10.753406
3.900000,170.262575,28.100588,-10.739230
3.920000,170.822440,27.885944,-10.725182
3.940000,171.378014,27.671581,-10.711261
3.960000,171.929304,27.457494,-10.697466
3.980000,172.476316,27.243682,-10.683798
4.000000,173.019053,27.030142,-10.670256
4.020000,173.557523,26.816872,-10.656838
4.040000,174.091730,26.603868,-10.643544
4.060000,174.621680,26.391130,-10.630374
4.080000,175.147377,26.178654,-10.617327
4.100000,175.668828,25.966437,-10.604402
4.120000,176.186037,25.754477,-10.591599
4.140000,176.699009,25.542773,-10.578918
4.160000,177.207750,25.331321,-10.566357
4.180000,177.712265,25.120119,-10.553917
4.200000,178.212558,24.909164,-10.541596
4.220000,178.708634,24.698455,-10.529395
4.240000,179.200499,24.487988,-10.517312
4.260000,179.688157,24.277762,-10.505348
4.280000,180.171613,24.067774,-10.493501
4.300000,180.650871,23.858022,-10.481771
4.320000,181.125937,23.648503,-10.470158
4.340000,181.596815,23.439216,-10.458660
4.360000,182.063510,23.230157,-10.447279
4.380000,182.526025,23.021325,-10.436012
4.400000,182.984366,22.812717,-10.424861
4.420000,183.438538,22.604330,-10.413823
4.440000,183.888544,22.396164,-10.402899
4.460000,184.334389,22.188214,-10.392088
4.480000,184.776077,21.980480,-10.381390
4.500000,185.213612,21.772959,-10.370805
4.520000,185.646999,21.565648,-10.360331
4.540000,186.076242,21.358546,-10.349968
4.560000,186.501346,21.151649,-10.339717
4.580000,186.922313,20.944957,-10.329576
4.600000,187.339148,20.738466,-10.319545
4.620000,187.751856,20.532175,-10.309624
4.640000,188.160440,20.326081,-10.299813
4.660000,188.564904,20.120183,-10.290110
4.680000,188.965251,19.914477,-10.280515
4.700000,189.361487,19.708962,-10.271029
4.720000,189.753614,19.503636,-10.261650
4.740000,190.141637,19.298496,-10.252379
4.760000,190.525558,19.093540,-10.243215
4.780000,190.905382,18.888767,-10.234157
4.800000,191.281113,18.684174,-10.225205
4.820000,191.652753,18.479759,-10.216359
4.840000,192.020307,18.275520,-10.207618
4.860000,192.383777,18.071454,-10.198982
4.880000,192.743168,17.867561,-10.190451
4.900000,193.098483,17.663836,-10.182025
4.920000,193.449724,17.460280,-10.173702
4.940000,193.796896,17.256888,-10.165483
4.960000,194.140002,17.053660,-10.157367
4.980000,194.479045,16.850594,-10.149355
5.000000,194.814028,16.647686,-10.141444
5.020000,195.144954,16.444936,-10.133637
5.040000,195.471827,16.242341,-10.125931
5.060000,195.794649,16.039899,-10.118327
5.080000,196.113423,15.837608,-10.110824
5.100000,196.428153,15.635466,-10.103422
5.120000,196.738842,15.433471,-10.096121
5.140000,197.045492,15.231621,-10.088921
5.160000,197.348107,15.029914,-10.081821
5.180000,197.646688,14.828348,-10.074820
5.200000,197.941240,14.626921,-10.067920
5.220000,198.231764,14.425631,-10.061118
5.240000,198.518264,14.224476,-10.054416
5.260000,198.800741,14.023454,-10.047812
5.280000,199.079200,13.822564,-10.041308
5.300000,199.353642,13.621802,-10.034901
5.320000,199.624070,13.421168,-10.028592
5.340000,199.890486,13.220659,-10.022381
5.360000,200.152894,13.020273,-10.016268
5.380000,200.411295,12.820008,-10.010252
5.400000,200.665692,12.619862,-10.004333
5.420000,200.916087,12.419834,-9.998511
5.440000,201.162483,12.219922,-9.992785
5.460000,201.404881,12.020123,-9.987156
5.480000,201.643285,11.820436,-9.981623
5.500000,201.877697,11.620858,-9.976186
5.520000,202.108118,11.421388,-9.970844
5.540000,202.334552,11.222024,-9.965598
5.560000,202.556999,11.022764,-9.960448
5.580000,202.775462,10.823606,-9.955396
5.600000,202.989944,10.624549,-9.950441
5.620000,203.200445,10.425589,-9.945577
5.640000,203.406968,10.226725,-9.940804
5.660000,203.609514,10.027957,-9.936123
5.680000,203.808087,9.829281,-9.931535
5.700000,204.002686,9.630695,-9.927042
5.720000,204.193315,9.432199,-9.922644
5.740000,204.379975,9.233790,-9.918340
5.760000,204.562667,9.035465,-9.914131
5.780000,204.741394,8.837224,-9.910017
5.800000,204.916157,8.639065,-9.905998
5.820000,205.086957,8.440984,-9.902073
5.840000,205.253797,8.242982,-9.898241
5.860000,205.416677,8.045055,-9.894503
5.880000,205.575599,7.847202,-9.890858
5.900000,205.730565,7.649420,-9.887306
5.920000,205.881577,7.451709,-9.883845
5.940000,206.028634,7.254067,-9.880475
5.960000,206.171740,7.056490,-9.877196
5.980000,206.310894,6.858979,-9.874008
6.000000,206.446099,6.661530,-9.870910
6.020000,206.577356,6.464142,-9.867901
6.040000,206.704665,6.266814,-9.864983
6.060000,206.828029,6.069543,-9.862153
6.080000,206.947447,5.872328,-9.859413
6.100000,207.062922,5.675167,-9.856763
6.120000,207.174455,5.478057,-9.854201
6.140000,207.282045,5.280998,-9.851730
6.160000,207.385696,5.083988,-9.849348
6.180000,207.485406,4.887025,-9.847056
6.200000,207.581177,4.690106,-9.844855
6.220000,207.673011,4.493230,-9.842744
6.240000,207.760908,4.296396,-9.840725
6.260000,207.844868,4.099601,-9.838797
6.280000,207.924893,3.902844,-9.836961
6.300000,208.000983,3.706123,-9.835217
6.320000,208.073139,3.509436,-9.833566
6.340000,208.141361,3.312780,-9.832008
6.360000,208.205651,3.116155,-9.830543
6.380000,208.266009,2.919559,-9.829170
6.400000,208.322434,2.722988,-9.827891
6.420000,208.374929,2.526443,-9.826704
6.440000,208.423493,2.329920,-9.825610
6.460000,208.468126,2.133419,-9.824606
6.480000,208.508829,1.936936,-9.823693
6.500000,208.545603,1.740471,-9.822869
6.520000,208.578448,1.544021,-9.822132
6.540000,208.607364,1.347586,-9.821480
6.560000,208.632351,1.151162,-9.820910
6.580000,208.653409,0.954749,-9.820419
6.600000,208.670540,0.758345,-9.820004
6.620000,208.683742,0.561949,-9.819660
6.640000,208.693017,0.365559,-9.819383
6.660000,208.698363,0.169174,-8.458781
6.680000,208.699782,0.027208,1.360317
6.700000,208.697274,0.223586,9.818889
6.720000,208.690838,0.419963,9.818813
6.740000,208.680475,0.616339,9.818744
6.760000,208.666184,0.812713,9.818534
6.780000,208.647966,1.009080,9.818134
6.800000,208.625821,1.205438,9.817629
6.820000,208.599749,1.401785,9.817035
6.840000,208.569750,1.598120,9.816352
6.860000,208.535824,1.794440,9.815579
6.880000,208.497972,1.990743,9.814717
6.900000,208.456195,2.187028,9.813765
6.920000,208.410491,2.383294,9.812724
6.940000,208.360863,2.579537,9.811594
6.960000,208.307310,2.775757,9.810375
6.980000,208.249833,2.971952,9.809066
7.000000,208.188432,3.168120,9.807669
7.020000,208.123108,3.364259,9.806182
7.040000,208.053862,3.560367,9.804606
7.060000,207.980694,3.756443,9.802941
7.080000,207.903604,3.952485,9.801187
7.100000,207.822595,4.148491,9.799344
7.120000,207.737665,4.344459,9.797413
7.140000,207.648816,4.540387,9.795393
7.160000,207.556050,4.736274,9.793284
7.180000,207.459366,4.932118,9.791086
7.200000,207.358765,5.127918,9.788800
7.220000,207.254249,5.323670,9.786426
7.240000,207.145819,5.519375,9.783963
7.260000,207.033475,5.715029,9.781411
7.280000,206.917218,5.910631,9.778772
7.300000,206.797050,6.106180,9.776044
7.320000,206.672971,6.301673,9.773229
7.340000,206.544983,6.497109,9.770325
7.360000,206.413087,6.692486,9.767334
7.380000,206.277284,6.887802,9.764255
7.400000,206.137576,7.083056,9.761088
7.420000,205.993962,7.278246,9.757834
7.440000,205.846446,7.473370,9.754492
7.460000,205.695028,7.668426,9.751063
7.480000,205.539710,7.863412,9.747547
7.500000,205.380492,8.058327,9.743944
7.520000,205.217377,8.253170,9.740254
7.540000,205.050366,8.447938,9.736477
7.560000,204.879460,8.642629,9.732614
7.580000,204.704661,8.837242,9.728663
7.600000,204.525971,9.031776,9.724627
7.620000,204.343391,9.226227,9.720504
7.640000,204.156922,9.420596,9.716295
7.660000,203.966567,9.614879,9.712000
7.680000,203.772328,9.809076,9.707619
7.700000,203.574205,10.003184,9.703152
7.720000,203.372201,10.197202,9.698600
7.740000,203.166318,10.391128,9.693963
7.760000,202.956556,10.584960,9.689240
7.780000,202.742920,10.778697,9.684432
7.800000,202.525409,10.972338,9.679539
7.820000,202.304027,11.165879,9.674562
7.840000,202.078775,11.359320,9.669499
7.860000,201.849655,11.552659,9.664352
7.880000,201.616669,11.745894,9.659119
7.900000,201.379819,11.939024,9.653801
7.920000,201.139108,12.132046,9.648400
7.940000,200.894537,12.324960,9.642915
7.960000,200.646109,12.517763,9.637347
7.980000,200.393826,12.710454,9.631697
8.000000,200.137690,12.903031,9.625963
8.020000,199.877703,13.095492,9.620147
8.040000,199.613869,13.287836,9.614248
8.060000,199.346189,13.480062,9.608266
8.080000,199.074665,13.672167,9.602203
8.100000,198.799301,13.864150,9.596058
8.120000,198.520098,14.056009,9.589830
8.140000,198.237060,14.247743,9.583522
8.160000,197.950188,14.439350,9.577131
8.180000,197.659485,14.630829,9.570660
8.200000,197.364954,14.822177,9.564107
8.220000,197.066598,15.013393,9.557474
8.240000,196.764418,15.204476,9.550759
8.260000,196.458419,15.395423,9.543965
8.280000,196.148601,15.586234,9.537090
8.300000,195.834970,15.776907,9.530135
8.320000,195.517526,15.967440,9.523101
8.340000,195.196273,16.157831,9.515987
8.360000,194.871214,16.348079,9.508793
8.380000,194.542351,16.538183,9.501521
8.400000,194.209688,16.728140,9.494169
8.420000,193.873227,16.917949,9.486739
8.440000,193.532972,17.107610,9.479230
8.460000,193.188925,17.297119,9.471644
8.480000,192.841089,17.486475,9.463979
8.500000,192.489468,17.675678,9.456236
8.520000,192.134065,17.864725,9.448417
8.540000,191.774882,18.053614,9.440519
8.560000,191.411923,18.242345,9.432545
8.580000,191.045192,18.430916,9.424495
8.600000,190.674690,18.619325,9.416367
8.620000,190.300422,18.807571,9.408164
8.640000,189.922390,18.995652,9.399885
8.660000,189.540599,19.183566,9.391530
8.680000,189.155051,19.371313,9.383099
8.700000,188.765750,19.558890,9.374594
8.720000,188.372699,19.746297,9.366014
8.740000,187.975902,19.933531,9.357359
8.760000,187.575362,20.120591,9.348629
8.780000,187.171082,20.307476,9.339826
8.800000,186.763066,20.494184,9.330949
8.820000,186.351318,20.680714,9.321999
8.840000,185.935841,20.867064,9.312975
8.860000,185.516638,21.053233,9.303879
8.880000,185.093715,21.239219,9.294709
8.900000,184.667073,21.425021,9.285468
8.920000,184.236717,21.610638,9.276155
8.940000,183.802650,21.796068,9.266770
8.960000,183.364876,21.981309,9.257313
8.980000,182.923400,22.166360,9.247786
9.000000,182.478224,22.351220,9.238187
9.020000,182.029353,22.535888,9.228518
9.040000,181.576790,22.720361,9.218779
9.060000,181.120540,22.904639,9.208970
9.080000,180.660606,23.088720,9.199091
9.100000,180.196992,23.272602,9.189144
9.120000,179.729702,23.456285,9.179127
9.140000,179.258740,23.639767,9.169041
9.160000,178.784111,23.823047,9.158888
9.180000,178.305818,24.006123,9.148666
9.200000,177.823865,24.188994,9.138377
9.220000,177.338257,24.371658,9.128020
